url_domain,url_subdomain,url_suffix,whois_registrar,whois_server_domain,whois_server_subdomain,whois_server_org,whois_org,url_domain_ip
citizendia,,org,NAMECHEAP INC,namecheap,whois,com,"WhoisGuard, Inc.",1921857798
webs,canalplushaitinews,com,"ENOM, INC.",ENOM,WHOIS,COM,REDACTED FOR PRIVACY,1041711940
mediafire-files,,com,MAFF Inc.,maff,whois,com,mobimei,13601422
pipl,,com,"GoDaddy.com, LLC",godaddy,whois,com,Pipl,19223074205
chacha,,com,"Alibaba Cloud Computing (Beijing) Co., Ltd.",hichina,grs-whois,com,,10324455236
art,,com,"CSC CORPORATE DOMAINS, INC.",corporatedomains,whois,com,"Art.com, Inc.",2047499100
songlyrics,,com,"Name.com, Inc.",name,whois,com,"Domain Protection Services, Inc.",1042713155
myspace,,com,"Network Solutions, LLC",networksolutions,whois,com,,631359070
ramonpolosellshomes,,com,Porkbun LLC,porkbun,whois,com,"Private by Design, LLC",18592221188
49ers,,com,"MarkMonitor, Inc.",markmonitor,whois,com,NFL,15110165153
archive,,org,"easyDNS Technologies, Inc.",easydns,whois,com,Internet Archive,2072412242
imdb,,com,"MarkMonitor, Inc.",markmonitor,whois,com,"IMDb.com, Inc.",5294228167
nj,,com,"CSC CORPORATE DOMAINS, INC.",corporatedomains,whois,com,Advance Local Media,3423720225
joliejustus,,com,Google LLC,google,whois,com,Contact Privacy Inc. Customer 1242024089,2162393821
beagametester,,com,DropCatch.com 389 LLC,NameBright,whois,com,HugeDomains.com,232023912
youtube,,com,"MarkMonitor, Inc.",markmonitor,whois,com,Google LLC,74125136136
acqs,,org,"ENOM, INC.",ENOM,WHOIS,COM,"['Data Protected', 'REDACTED FOR PRIVACY']",3520923163
sleepinnlincoln,,com,"CSC CORPORATE DOMAINS, INC.",corporatedomains,whois,com,"Choice Hotels International, Inc.",2047499103
youtube,,com,"MarkMonitor, Inc.",markmonitor,whois,com,Google LLC,74125136136
infoplease,,com,"CSC CORPORATE DOMAINS, INC.",corporatedomains,whois,com,Sandbox Networks Inc.,52221257
digital-topo-maps,,com,"ENOM, INC.",ENOM,WHOIS,COM,REDACTED FOR PRIVACY,663950134
wikipedia,en,org,"MarkMonitor, Inc.",markmonitor,whois,com,"Wikimedia Foundation, Inc.",20880154224
peelschools,myclass,org,"Network Solutions, LLC",networksolutions,whois,com,Peel District School Board,672115299
paulopr,,com,NAMECHEAP INC,namecheap,whois,com,Homehost Hospedagem de Sites,1778598242
marketmaps,,com,"Network Solutions, LLC",networksolutions,whois,com,,661799765
sustainablemelbourne,,com,"ENOM, INC.",ENOM,WHOIS,COM,"Whois Privacy Protection Service, Inc.",104281228
race-calendar,,com,CSL Computer Service Langenbach GmbH d/b/a joker.com,joker,whois,com,Race-Calendar.com,65606322
bzchaoyi,,com,"Alibaba Cloud Computing (Beijing) Co., Ltd.",hichina,grs-whois,com,,223614525
betfirms,,com,"GoDaddy.com, LLC",godaddy,whois,com,Boyd Information Group,963020236
baseball-reference,,com,"Network Solutions, LLC",networksolutions,whois,com,,66353685
pitch,,com,"Name.com, Inc.",name,whois,com,"Domain Protection Services, Inc.",1041981452
songlyrics,,com,"Name.com, Inc.",name,whois,com,"Domain Protection Services, Inc.",1042713155
thecanadianencyclopedia,,com,Namescout.com,Namescout,whois,com,Historica Canada (NFP),52170202
youtube,,com,"MarkMonitor, Inc.",markmonitor,whois,com,Google LLC,74125136136
brilliantgameologists,,com,FastDomain Inc.,bluehost,whois,com,ATTN: BRILLIANTGAMEOLOGISTS.COM,742201996
archive,,org,"easyDNS Technologies, Inc.",easydns,whois,com,Internet Archive,2072412242
wikipedia,en,org,"MarkMonitor, Inc.",markmonitor,whois,com,"Wikimedia Foundation, Inc.",20880154224
syracuse,,com,"CSC CORPORATE DOMAINS, INC.",corporatedomains,whois,com,Advance Local Media,5220449208
pipl,,com,"GoDaddy.com, LLC",godaddy,whois,com,Pipl,19223074205
reference,,com,"MarkMonitor, Inc.",markmonitor,whois,com,"IAC Publishing, LLC",1511016114
homethinking,,com,"GoDaddy.com, LLC",godaddy,whois,com,,1841682212
answers,,com,"Network Solutions, LLC",networksolutions,whois,com,,151101192203
boardreader,,com,"Network Solutions, LLC",networksolutions,whois,com,,20892218173
painofsslvation,,com,Key-Systems GmbH,rrpproxy,whois,net,REDACTED FOR PRIVACY,232536366
yardbarker,,com,"New Frontier, Inc.",newfrontier,whois,domains,"Domain Protection Services, Inc.",198243546
rottentomatoes,,com,"MarkMonitor, Inc.",markmonitor,whois,com,"Fandango Media, LLC",10471236220
lyricsbay,,com,"GMO INTERNET, INC.",discount-domain,whois,com,Personal,153126209199
about,rap,com,MarkMonitor Inc.,markmonitor,whois,com,,151101130114
yolasite,zeigerindustriescoltd,com,Safenames Ltd,safenames,whois,net,,10416162215
forbes,,com,MarkMonitor Inc.,markmonitor,whois,com,,15110119449
answers,wiki,com,"Network Solutions, LLC",networksolutions,whois,com,,151101192203
bioware,,com,"CSC CORPORATE DOMAINS, INC.",corporatedomains,whois,com,Electronic Arts Inc.,1591537449
city-data,,com,"GoDaddy.com, LLC",godaddy,whois,com,"Advameg, Inc.",16962184199
duckdns,1254-santander,org,GANDI SAS,gandi,whois,net,,52275144
acadiansingray,,com,"Register.com, Inc.",register,whois,com,,16221524946
facebook,,com,"RegistrarSafe, LLC",registrarsafe,whois,com,"Facebook, Inc.",1572401435
49ers,,com,"MarkMonitor, Inc.",markmonitor,whois,com,NFL,15110165153
afca,,com,"ENOM, INC.",ENOM,WHOIS,COM,REDACTED FOR PRIVACY,19459166241
ticketloot,,com,"TurnCommerce, Inc. DBA NameBright.com",NameBright,whois,com,HugeDomains.com,232023912
ign,ps3,com,"CSC CORPORATE DOMAINS, INC.",corporatedomains,whois,com,IGN Entertainment Inc.,3517510185
911tabs,,com,"Network Solutions, LLC",networksolutions,whois,com,,8899117130
sfgate,articles,com,"CSC CORPORATE DOMAINS, INC.",corporatedomains,whois,com,"Hearst Communications, Inc.",9812922859
pipl,,com,"GoDaddy.com, LLC",godaddy,whois,com,Pipl,19223074205
wikimedia,commons,org,"MarkMonitor, Inc.",markmonitor,whois,com,"Wikimedia Foundation, Inc.",20880154224
creativewebstore,,com,"OwnRegistrar, Inc.",ownregistrar,whois,com,Creative Web Solutions,10427182215
wikipedia,en,org,"MarkMonitor, Inc.",markmonitor,whois,com,"Wikimedia Foundation, Inc.",20880154224
apple,itunes,com,"CSC CORPORATE DOMAINS, INC.",corporatedomains,whois,com,Apple Inc.,1717222447
dailybruin,,com,Google LLC,google,whois,com,Contact Privacy Inc. Customer 124587434,104186390
kiltonmotor,,com,"Bizcn.com,Inc.",bizcn,whois,com,,2087323222
facebook,,com,"RegistrarSafe, LLC",registrarsafe,whois,com,"Facebook, Inc.",1572401435
kuathletics,,com,"GoDaddy.com, LLC",godaddy,whois,com,"Domains By Proxy, LLC",35244143206
pricerighthotels,,com,"GoDaddy.com, LLC",godaddy,whois,com,"Lexyl Travel Technologies, Inc.",21622318899
homestead,phoenixfeathers,com,"Domain.com, LLC",domain,whois,com,"Homestead Technologies, Inc.",10816713550
ew,insidetv,com,"MarkMonitor, Inc.",markmonitor,whois,com,Meredith Corporation,133511882
healthgrades,,com,"Amazon Registrar, Inc.",amazon,whois.registrar,com,Whois Privacy Service,132264591
sdntqg,,com,Beijing Innovative Linkage Technology Ltd.,dns,whois,com.cn,,156233545
metacritic,,com,"MarkMonitor, Inc.",markmonitor,whois,com,CBS Interactive Inc.,2323171117
valuecheminc,,com,"GoDaddy.com, LLC",godaddy,whois,com,,18416822163
flipdog,,com,"CSC CORPORATE DOMAINS, INC.",corporatedomains,whois,com,"Monster Worldwide, Inc.",20871195147
complaintsboard,,com,"ENOM, INC.",ENOM,WHOIS,COM,"Whois Privacy Protection Service, Inc.",10424127
reimage,cdnrep,com,"GoDaddy.com, LLC",godaddy,whois,com,"Domains By Proxy, LLC",16147714
zazzle,,com,"MarkMonitor, Inc.",markmonitor,whois,com,Zazzle Inc.,15110166119
wikipedia,en,org,MarkMonitor Inc.,markmonitor,whois,com,"Wikimedia Foundation, Inc.",20880154224
zoominfo,,com,"Network Solutions, LLC",networksolutions,whois,com,,1041616882
youtube,,com,"MarkMonitor, Inc.",markmonitor,whois,com,Google LLC,74125136136
iowaoldpress,,com,"GoDaddy.com, LLC",godaddy,whois,com,,10718046150
ealg,,com,NICS Telekomunikasyon A.S.,nicproxy,whois,com,Caner Bulut,9473163242
kickinthepeanuts,,com,"Shining Star Domains, LLC",web,whois,com,,6432867
evokerecords,,com,NAMECHEAP INC,namecheap,whois,com,"WhoisGuard, Inc.",162255119254
themat,,com,"GoDaddy.com, LLC",godaddy,whois,com,,98129229154
yahoo,music,com,"MarkMonitor, Inc.",markmonitor,whois,com,Oath Inc.,981372468
facebook,,com,"RegistrarSafe, LLC",registrarsafe,whois,com,"Facebook, Inc.",1572401435
nascar,hometracks,com,"Network Solutions, LLC",networksolutions,whois,com,,133511894
academickids,,com,"Network Solutions, LLC",networksolutions,whois,com,,10859028
britannica,,com,"CSC CORPORATE DOMAINS, INC.",corporatedomains,whois,com,"Encyclopaedia Britannica, Inc.",18210131214
myspace,,com,"Network Solutions, LLC",networksolutions,whois,com,,631359070
aboutus,,org,Porkbun LLC,porkbun,whois,com,"Private by Design, LLC",320915130
greatschools,,org,"Network Solutions, LLC",networksolutions,whois,com,"GreatSchools, Inc.",232312183
ancestry,archiver.rootsweb,com,"MarkMonitor, Inc.",markmonitor,whois,com,Ancestry.com Operations Inc.,4560169132
rutzcellars,fsu,com,"GoDaddy.com, LLC",godaddy,whois,com,"Domains By Proxy, LLC",184168131241
mylife,,com,"Network Solutions, LLC",networksolutions,whois,com,,21652223150
weebly,whscollegeadvising,com,Safenames Ltd,safenames,whois,net,,7411550109
datoteka,,com,Google LLC,google,whois,com,Contact Privacy Inc. Customer 1241060350,2096813104
amazon,,com,"MarkMonitor, Inc.",markmonitor,whois,com,"Amazon Technologies, Inc.",1763298166
ticketmaster,,com,"CSC CORPORATE DOMAINS, INC.",corporatedomains,whois,com,Ticketmaster,151101287
mybully,,org,"Wild West Domains, LLC",wildwestdomains,whois,com,,742201996
facebook,en-gb,com,"RegistrarSafe, LLC",registrarsafe,whois,com,"Facebook, Inc.",1572401435
tpreiasouthtexas,,org,"ENOM, INC.",ENOM,WHOIS,COM,"['TPREIA', 'REDACTED FOR PRIVACY']",19218530210
nehi1982,,com,"ENOM, INC.",ENOM,WHOIS,COM,REDACTED FOR PRIVACY,694117162
facebook,,com,"RegistrarSafe, LLC",registrarsafe,whois,com,"Facebook, Inc.",1572401435
wikipedia,en,org,"MarkMonitor, Inc.",markmonitor,whois,com,"Wikimedia Foundation, Inc.",20880154224
fght,,org,"DomainSite, Inc.",domainsite,whois,com,"Domain Protection Services, Inc.",1439579226
blogspot,ocpimple,com,"MarkMonitor, Inc.",markmonitor,whois,com,Google LLC,17221711137
centenaryunited,,com,DropCatch.com 1417 LLC,NameBright,whois,com,HugeDomains.com,232023912
purevolume,,com,"GoDaddy.com, LLC",godaddy,whois,com,"Domains By Proxy, LLC",162243166170
birminghamuk,,com,1&1 IONOS SE,ionos,whois,com,,21716023371
artistdirect,,com,"GoDaddy.com, LLC",godaddy,whois,com,"PSI Capital, Inc.",74208228236
6502,,org,"DNC Holdings, Inc",directnic,whois,com,"['Savvy Investments, LLC', 'Savvy Investments, LLC Privacy ID# 508569']",501162118
wikipedia,en,org,"MarkMonitor, Inc.",markmonitor,whois,com,"Wikimedia Foundation, Inc.",20880154224
fanpix,,net,INWX GmbH & Co. KG,domrobot,whois,com,,174345678
denverpioneers,,com,"GoDaddy.com, LLC",godaddy,whois,com,SIDEARM Sports,671922817
mapsofworld,,com,"GoDaddy.com, LLC",godaddy,whois,com,,69645079
webstercitynews,,com,"Network Solutions, LLC",networksolutions,whois,com,,1216911270
loughboroughecho,blogs,net,"CSC CORPORATE DOMAINS, INC.",corporatedomains,whois,com,Trinity Mirror Digital Media Ltd,5422821741
baseballlibrary,,com,NAMECHEAP INC,namecheap,whois,com,"WhoisGuard, Inc.",19820164111
expedia,,com,"CSC CORPORATE DOMAINS, INC.",corporatedomains,whois,com,"Expedia, Inc",5226234148
marlinwash,,com,"ENOM, INC.",ENOM,WHOIS,COM,REDACTED FOR PRIVACY,892625253
erha,,org,"Network Solutions, LLC",networksolutions,whois,com,,2089021575
freebase,,com,"MarkMonitor, Inc.",markmonitor,whois,com,Google LLC,2162393821
ruralcenter,,org,"GoDaddy.com, LLC",godaddy,whois,com,"Domains By Proxy, LLC",199168231131
homes,,com,"Register.com, Inc.",register,whois,com,,209166160242
straydogwinter,,com,"GoDaddy.com, LLC",godaddy,whois,com,"Domains By Proxy, LLC",17320196128
turkcebilgi,english,com,"GoDaddy.com, LLC",godaddy,whois,com,Sawis Bilisim A.S.,13820113019
spiritus-temporis,,com,1&1 IONOS SE,ionos,whois,com,1&1 Internet Limited,1042714537
wordpress,gomasonblog,com,"MarkMonitor, Inc.",markmonitor,whois,com,"Automattic, Inc.",1920789
trails,,com,"Amazon Registrar, Inc.",amazon,whois.registrar,com,Whois Privacy Service,529132252
beenverified,,com,"GoDaddy.com, LLC",godaddy,whois,com,"BeenVerified, Inc.",10416447
newegg,,com,"Network Solutions, LLC",networksolutions,whois,com,,234619780
lyricsreg,,com,"GoDaddy.com, LLC",godaddy,whois,com,"Domains By Proxy, LLC",104261287
whitepages,names,com,"Amazon Registrar, Inc.",amazon,whois.registrar,com,Whois Privacy Service,546840178
lead411,,com,"GoDaddy.com, LLC",godaddy,whois,com,"Domains By Proxy, LLC",2041486110
imdb,,com,"MarkMonitor, Inc.",markmonitor,whois,com,"IMDb.com, Inc.",5294228167
nafts,,com,"GKG.NET, INC.",gkg,whois,net,National Association of Fleet Tug Sailors,173248157154
wikia,kansascity,com,Tucows Domains Inc.,tucows,whois,com,,151101192194
indeed,,com,"MarkMonitor, Inc.",markmonitor,whois,com,"Indeed, Inc",1821611470
yahoo,local,com,"MarkMonitor, Inc.",markmonitor,whois,com,Oath Inc.,981372468
youmi,stat.gw,net,"eName Technology Co.,Ltd.",ename,whois,com,,203195147223
google,knol,com,"MarkMonitor, Inc.",markmonitor,whois,com,Google LLC,74125196101
alexa,,com,"MarkMonitor, Inc.",markmonitor,whois,com,Alexa Internet,133285129
aolradioblog,,com,"SNAPNAMES 50, LLC",web,whois,com,,10427136113
classmates,,com,"CSC CORPORATE DOMAINS, INC.",corporatedomains,whois,com,"PeopleConnect, Inc.",2088441110
blogspot,redbones2,com,"MarkMonitor, Inc.",markmonitor,whois,com,Google LLC,17221711137
answers,,com,"Network Solutions, LLC",networksolutions,whois,com,,151101192203
thepiratebay,,org,"easyDNS Technologies, Inc.",easydns,whois,com,Fredrik Neij,1042419020
nytimes,movies,com,"MarkMonitor, Inc.",markmonitor,whois,com,The New York Times Company,15110165164
wikipedia,en,org,MarkMonitor Inc.,markmonitor,whois,com,"Wikimedia Foundation, Inc.",20880154224
whosdatedwho,,com,INWX GmbH & Co. KG,domrobot,whois,com,,174345695
ancestry,freepages.genealogy.rootsweb,com,MarkMonitor Inc.,markmonitor,whois,com,,4560169132
spokeo,,com,"ENOM, INC.",ENOM,WHOIS,COM,REDACTED FOR PRIVACY,1322645125
worldgolf,,com,"MarkMonitor, Inc.",markmonitor,whois,com,"NBCUniversal Media, LLC",17412925170
hockeyfights,,com,"GoDaddy.com, LLC",godaddy,whois,com,SingerNet,104260161
associatedcontent,,com,MarkMonitor Inc.,markmonitor,whois,com,,98138878
blogspot,uglyisnotanoption,com,MarkMonitor Inc.,markmonitor,whois,com,,17221711137
almightyzeus,,com,NAMECHEAP INC,namecheap,whois,com,"WhoisGuard, Inc.",192995936
facebook,,com,"RegistrarSafe, LLC",registrarsafe,whois,com,"Facebook, Inc.",1572401435
legacy,,com,"Network Solutions, LLC",networksolutions,whois,com,,2161464611
texas-inmate-search,,com,"GoDaddy.com, LLC",godaddy,whois,com,"Confi-chek, Inc.",2044457217
collegechalktalk,,com,"GoDaddy.com, LLC",godaddy,whois,com,"College Chalktalk, LLC",19857247133
specialtyoutdoors,,com,"GoDaddy.com, LLC",godaddy,whois,com,"Domains By Proxy, LLC",16015390168
linkedin,,com,"MarkMonitor, Inc.",markmonitor,whois,com,LinkedIn Corporation,1081741010
rogersandstephens,,com,"GoDaddy.com, LLC",godaddy,whois,com,,50621081
keenepubliclibrary,,org,"GoDaddy.com, LLC",godaddy,whois,com,City of Keene,184168131241
impetechgroup,,com,Net 4 India Limited,net4domains,whois,com,Impetech It Solutions Pvt Ltd,1487219213
imtl,,org,"Misk.com, Inc.",misk,whois,com,Orbiscope,192254236104
vidacomvida,,com,"GoDaddy.com, LLC",godaddy,whois,com,Domain Discreet Privacy Service,69167190239
tomsellecksilverbullet,,com,1&1 IONOS SE,ionos,whois,com,1&1 Internet Inc,74208236139
filecrop,,com,DropCatch.com 977 LLC,NameBright,whois,com,,20724467138
nbcactionnews,,com,"MarkMonitor, Inc.",markmonitor,whois,com,The E. W. Scripps Company,34228163209
cnn,sportsillustrated,com,"CSC CORPORATE DOMAINS, INC.",corporatedomains,whois,com,"Turner Broadcasting System, Inc.",151101167
missgrandslam,,com,NAMECHEAP INC,namecheap,whois,com,,19264119176
youtube,,com,"MarkMonitor, Inc.",markmonitor,whois,com,Google LLC,741252193
delkainnovo,,com,"ENOM, INC.",ENOM,WHOIS,COM,REDACTED FOR PRIVACY,2041039252
absoluteastronomy,,com,"Domain.com, LLC",domain,whois,com,REDACTED FOR PRIVACY,21655179243
facebook,,com,"RegistrarSafe, LLC",registrarsafe,whois,com,"Facebook, Inc.",1572401435
ebay,,com,"MarkMonitor, Inc.",markmonitor,whois,com,eBay Inc.,66135196249
askbiography,,com,PDR Ltd. d/b/a PublicDomainRegistry.com,publicdomainregistry,whois,com,web4world,6990184246
beenverified,,com,"GoDaddy.com, LLC",godaddy,whois,com,"BeenVerified, Inc.",10416447
typepad,mzyuos,com,"Domain.com, LLC",domain,whois,com,Endurance International Group,10418139190
youtube,,com,"MarkMonitor, Inc.",markmonitor,whois,com,Google LLC,741252193
apple,itunes,com,"CSC CORPORATE DOMAINS, INC.",corporatedomains,whois,com,Apple Inc.,1717222447
topix,,com,"Cloudflare, Inc.",cloudflare,whois,com,"Topix, LLC",1041694141
wikipedia,en,org,MarkMonitor Inc.,markmonitor,whois,com,"Wikimedia Foundation, Inc.",20880154224
nude-toons,xxx,net,"DYNADOT, LLC",dynadot,whois,com,,516819526
blueflag,,org,"Ascio Technologies, Inc",ascio,whois,com,"['Foundation for Environmental Education /FEE', 'Not Disclosed']",21212341105
myoptimalwellness,,com,"GoDaddy.com, LLC",godaddy,whois,com,"Domains By Proxy, LLC",192124249110
spokeo,,com,"ENOM, INC.",ENOM,WHOIS,COM,REDACTED FOR PRIVACY,132264536
artistopia,,com,"Name.com, Inc.",name,whois,com,"Domain Protection Services, Inc.",198201144
thebaseballcube,,com,"GoDaddy.com, LLC",godaddy,whois,com,Gary Cohen and Associates,761215726
4shared,,com,"GoDaddy.com, LLC",godaddy,whois,com,New IT Solutions Ltd.,20415514941
wehold,,net,"Alibaba Cloud Computing (Beijing) Co., Ltd.",hichina,grs-whois,com,,185531788
cityofmacon,,net,NAMECHEAP INC,namecheap,whois,com,"WhoisGuard, Inc.",10717896162
youtube,,com,"MarkMonitor, Inc.",markmonitor,whois,com,Google LLC,741252193
yahoo,tv,com,MarkMonitor Inc.,markmonitor,whois,com,,981372468
lansegu,,com,"Alibaba Cloud Computing (Beijing) Co., Ltd.",hichina,grs-whois,com,,210161908
hotmovies,,com,"Network Solutions, LLC",networksolutions,whois,com,,548014158
answers,,com,"Network Solutions, LLC",networksolutions,whois,com,,151101192203
flamewarrior,,com,FastDomain Inc.,hostmonster,whois,com,,672011263
wn,,com,"ENOM, INC.",ENOM,WHOIS,COM,REDACTED FOR PRIVACY,19514984100
amazon,,com,"MarkMonitor, Inc.",markmonitor,whois,com,"Amazon Technologies, Inc.",1763298166
rustyroots,,com,FastDomain Inc.,bluehost,whois,com,GDPR MASKED,69892059
twitter,,com,"CSC CORPORATE DOMAINS, INC.",corporatedomains,whois,com,"Twitter, Inc.",1042444265
flickr,,com,"MarkMonitor, Inc.",markmonitor,whois,com,"SmugMug, Inc.",1332115218
nasl,,com,"easyDNS Technologies, Inc.",easydns,whois,com,NASL,6722516458
50webs,linhadjs,com,LIQUIDNET Ltd.,liquidnetlimited,whois,co.uk,REDACTED FOR PRIVACY,1982353141
mylife,,com,"Network Solutions, LLC",networksolutions,whois,com,,21652223150
wikipedia,en,org,"MarkMonitor, Inc.",markmonitor,whois,com,"Wikimedia Foundation, Inc.",20880154224
debian,wiki,org,GANDI SAS,gandi,whois,net,"Software in the Public Interest, Inc. - Debian Project",12831062
clifflamere,genealogy,com,FastDomain Inc.,bluehost,whois,com,"THE ENDURANCE INTERNATIONAL GROUP, INC.",16224121974
blogspot,sasquatchhunter,com,"MarkMonitor, Inc.",markmonitor,whois,com,Google LLC,17221711137
about,kidstvmovies,com,"MarkMonitor, Inc.",markmonitor,whois,com,"About, Inc.",151101130114
schooltree,ohio,org,"GoDaddy.com, LLC",godaddy,whois,com,"Domains By Proxy, LLC",104317141
quazal,,com,GANDI SAS,gandi,whois,net,Ubisoft Divertissements inc,216986056
blogspot,rangergord,com,"MarkMonitor, Inc.",markmonitor,whois,com,Google LLC,17221711137
autostraddle,,com,NAMECHEAP INC,namecheap,whois,com,"WhoisGuard, Inc.",10427135226
nbc,,com,"MarkMonitor, Inc.",markmonitor,whois,com,"NBCUniversal Media, LLC",234122174
discogs,,com,"GoDaddy.com, LLC",godaddy,whois,com,"Zink Media, Inc.",21615117150
amazon,,com,"MarkMonitor, Inc.",markmonitor,whois,com,"Amazon Technologies, Inc.",1763298166
careerbliss,,com,"GoDaddy.com, LLC",godaddy,whois,com,"Domains By Proxy, LLC",2073844116
kansascity,blogs,com,"Network Solutions, LLC",networksolutions,whois,com,,16610832245
yahoo,music,com,"MarkMonitor, Inc.",markmonitor,whois,com,Oath Inc.,981372468
healthgrades,,com,"Amazon Registrar, Inc.",amazon,whois.registrar,com,Whois Privacy Service,132264587
youtube,,com,"MarkMonitor, Inc.",markmonitor,whois,com,Google LLC,172217215190
minitokyo,,net,Key-Systems GmbH,rrpproxy,whois,net,REDACTED FOR PRIVACY,518323780
amazon,,com,"MarkMonitor, Inc.",markmonitor,whois,com,"Amazon Technologies, Inc.",1763298166
srhnet,,org,"NameSilo, LLC",namesilo,whois,com,See PrivacyGuardian.org,119924104
quotationspage,,com,"Register.com, Inc.",register,whois,com,,7420847119
classmates,,com,"CSC CORPORATE DOMAINS, INC.",corporatedomains,whois,com,"PeopleConnect, Inc.",2088441110
spokeo,,com,"ENOM, INC.",ENOM,WHOIS,COM,REDACTED FOR PRIVACY,132264536
amazon,,com,"MarkMonitor, Inc.",markmonitor,whois,com,"Amazon Technologies, Inc.",1763298166
gamespy,ds,com,"CSC CORPORATE DOMAINS, INC.",corporatedomains,whois,com,IGN Entertainment Inc.,541591975
veromi,,com,"GoDaddy.com, LLC",godaddy,whois,com,"Domains By Proxy, LLC",10424123196
brightlightsfilm,,com,"Wild West Domains, LLC",wildwestdomains,whois,com,"Studio Hyperset, Inc.",10424110107
tradebit,,com,"GoDaddy.com, LLC",godaddy,whois,com,"Tradebit.com, Inc",104256166
chaunceybaileyproject,,org,"GoDaddy.com, LLC",godaddy,whois,com,,6621197193
imdb,,com,"MarkMonitor, Inc.",markmonitor,whois,com,"IMDb.com, Inc.",5294228167
bobcuriano,,com,FastDomain Inc.,bluehost,whois,com,"THE ENDURANCE INTERNATIONAL GROUP, INC.",742201996
ovguide,,com,DropCatch.com 1013 LLC,NameBright,whois,com,,5138162120
bjcurio,,com,"Alibaba Cloud Computing (Beijing) Co., Ltd.",hichina,grs-whois,com,,27112939
collegefootballpoll,,com,"GoDaddy.com, LLC",godaddy,whois,com,"Domains By Proxy, LLC",19858102185
legendsofhockey,,net,"Domain.com, LLC",domain,whois,com,Domain Privacy Service FBO Registrant.,3899161114
wikipedia,en,org,"MarkMonitor, Inc.",markmonitor,whois,com,"Wikimedia Foundation, Inc.",20880154224
gnhdd,,com,Beijing Innovative Linkage Technology Ltd.,dns,whois,com.cn,,1121267291
youtube,,com,"MarkMonitor, Inc.",markmonitor,whois,com,Google LLC,172217215190
ebay,,com,MarkMonitor Inc.,markmonitor,whois,com,,66135196249
satellitetv-news,,com,"Wild West Domains, LLC",wildwestdomains,whois,com,,611141532
bizjournals,,com,"CSC CORPORATE DOMAINS, INC.",corporatedomains,whois,com,"American City Business Journals, Inc.",10715410227
federalcontractingpr,conference,com,FastDomain Inc.,fastdomain,whois,com,PRIDCO,207150251116
streema,,com,NAMECHEAP INC,namecheap,whois,com,"WhoisGuard, Inc.",104264100
flickr,,com,"MarkMonitor, Inc.",markmonitor,whois,com,"SmugMug, Inc.",1332115218
youtube,,com,"MarkMonitor, Inc.",markmonitor,whois,com,Google LLC,172217215190
linkedin,,com,MarkMonitor Inc.,markmonitor,whois,com,,1081741010
wikipedia,simple,org,MarkMonitor Inc.,markmonitor,whois,com,"Wikimedia Foundation, Inc.",20880154224
linkedin,,com,MarkMonitor Inc.,markmonitor,whois,com,,1081741010
americanmusicchannel,,com,"Network Solutions, LLC",networksolutions,whois,com,,521525297
radio-info,,com,"Wild West Domains, LLC",wildwestdomains,whois,com,Goodphone communications,5063136223
blogspot,mob-who,com,"MarkMonitor, Inc.",markmonitor,whois,com,Google LLC,17221711137
residencesallegro,,com,"GoDaddy.com, LLC",godaddy,whois,com,,669614932
aquadryplus,,com,"GoDaddy.com, LLC",godaddy,whois,com,"Domains By Proxy, LLC",2323662147
demotix,,com,"GoDaddy.com, LLC",godaddy,whois,com,,1043192102
totallytickets,,com,"GoDaddy.com, LLC",godaddy,whois,com,Totally Tickets Inc,16788148153
tv,,com,"MarkMonitor, Inc.",markmonitor,whois,com,CBS Interactive Inc.,232389103
airzer,gold,com,"GoDaddy.com, LLC",godaddy,whois,com,,18416822153
famouswhy,people,com,Key-Systems GmbH,rrpproxy,whois,net,REDACTED FOR PRIVACY,8520422108
uclabruins,,com,"GoDaddy.com, LLC",godaddy,whois,com,SIDEARM Sports,7420581134
mylife,,com,"Network Solutions, LLC",networksolutions,whois,com,,21652223150
yimg,xa3,com,"MarkMonitor, Inc.",markmonitor,whois,com,Oath Inc.,9813610323
aol,music,com,MarkMonitor Inc.,markmonitor,whois,com,,12410811587
facebook,,com,"RegistrarSafe, LLC",registrarsafe,whois,com,"Facebook, Inc.",1572401435
facebook,,com,"RegistrarSafe, LLC",registrarsafe,whois,com,"Facebook, Inc.",1572401435
ksoleague,,com,"GoDaddy.com, LLC",godaddy,whois,com,Kalamazoo Symphony Orchestra League,502860108
amazon,,com,"MarkMonitor, Inc.",markmonitor,whois,com,"Amazon Technologies, Inc.",205251242103
blainejensenrv,,com,"Network Solutions, LLC",networksolutions,whois,com,,198127249
sourcewatch,,org,pair Domains,pairDomains,,com,Center for Media and Democracy,663912835
suicidal,,com,"GoDaddy.com, LLC",godaddy,whois,com,"Domains By Proxy, LLC",1071804057
blg,,com,WEBNAMES.CA INC,webnames,whois,ca,Borden Ladner Gervais LLP,20413812640
youtube,,com,"MarkMonitor, Inc.",markmonitor,whois,com,Google LLC,172217215190
zimbio,,com,Google LLC,google,whois,com,Contact Privacy Inc. Customer 1242283824,15110166217
youtube,,com,MarkMonitor Inc.,markmonitor,whois,com,,172217215190
ancestry,search,com,"MarkMonitor, Inc.",markmonitor,whois,com,Ancestry.com Operations Inc.,4560169132
pluggedin,,com,"Network Solutions, LLC",networksolutions,whois,com,,67135133137
